                                    lz                                    | mp_code |                mp_name                |     mn_name      |      dc_name       |  pr_name   
 59880 - ZAULT: Formal residential in traditional tenure                  |  973002 | Mohodi                                | Molemole         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  973004 | Molemole NU                           | Molemole         | Capricorn          | Limpopo
 59251 - ZALCV: North central Limpopo cattle and vegetables               |  973004 | Molemole NU                           | Molemole         | Capricorn          | Limpopo
 59252 - ZALEM: Limpopo Escarpment Mixed Farming                          |  973004 | Molemole NU                           | Molemole         | Capricorn          | Limpopo
 59881 - ZAULM: Urban, residential, low-rise affluent and middle-income   |  973032 | Morbeng                               | Molemole         | Capricorn          | Limpopo
 59890 - ZAUSM: Urban, smallholdings, uncultivated or grazing             |  973032 | Morbeng                               | Molemole         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  973007 | Moshasha                              | Molemole         | Capricorn          | Limpopo
 59881 - ZAULM: Urban, residential, low-rise affluent and middle-income   |  973031 | Nthabiseng                            | Molemole         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  973028 | Ramatjowe                             | Molemole         | Capricorn          | Limpopo
 59251 - ZALCV: North central Limpopo cattle and vegetables               |  973030 | Ramokgopa                             | Molemole         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  973020 | Sakoleng                              | Molemole         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  973008 | Schellenburg                          | Molemole         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  973019 | Schoonveld                            | Molemole         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  973027 | Sefene                                | Molemole         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  973024 | Sekakene                              | Molemole         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  973012 | Shashe                                | Molemole         | Capricorn          | Limpopo
 59201 - ZALCM: Lowveld open access mixed farming                         |  973014 | Tshitale                              | Molemole         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  973005 | Westphalia                            | Molemole         | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974087 | Badimong                              | Polokwane        | Capricorn          | Limpopo
 59881 - ZAULM: Urban, residential, low-rise affluent and middle-income   |  974142 | Bergnek                               | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974042 | Bloodriver                            | Polokwane        | Capricorn          | Limpopo
 59881 - ZAULM: Urban, residential, low-rise affluent and middle-income   |  974042 | Bloodriver                            | Polokwane        | Capricorn          | Limpopo
 59890 - ZAUSM: Urban, smallholdings, uncultivated or grazing             |  974096 | Boskopies                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974140 | Chuenespoort                          | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974008 | Ditenteng                             | Polokwane        | Capricorn          | Limpopo
 59890 - ZAUSM: Urban, smallholdings, uncultivated or grazing             |  974045 | Doornbult                             | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974075 | Doornspruit                           | Polokwane        | Capricorn          | Limpopo
 59890 - ZAUSM: Urban, smallholdings, uncultivated or grazing             |  974107 | Elmadal                               | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974141 | Ga-Chuene                             | Polokwane        | Capricorn          | Limpopo
 59880 - ZAULT: Formal residential in traditional tenure                  |  974141 | Ga-Chuene                             | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974003 | Ga-Hlahla                             | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974023 | Ga-Komape                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974128 | Ga-Lekgothoane                        | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974009 | Ga-Mabitsela                          | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974020 | Ga-Mabotha                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974137 | Ga-Maja                               | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974004 | Ga-Makibelo                           | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974007 | Ga-Matabanyane                        | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974079 | Ga-Mothiba                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974083 | Ga-Motholo                            | Polokwane        | Capricorn          | Limpopo
 59903 - ZAPRO: Protected nature, forest or game reserve, gazetted        |  974083 | Ga-Motholo                            | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974005 | Ga-Setati                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974058 | Ga-Tjale                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974066 | Ga-kgole                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974099 | GaMagowa                              | Polokwane        | Capricorn          | Limpopo
 59880 - ZAULT: Formal residential in traditional tenure                  |  974099 | GaMagowa                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974090 | GaMahlahle                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974057 | GaMailula                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974113 | GaMakanye                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974071 | GaMakgoba                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974063 | GaMakgobathe                          | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974052 | GaMakweya                             | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974048 | GaMamadila                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974064 | GaMamphaka                            | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974011 | GaManamela                            | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974076 | GaMapangula                           | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974132 | GaMathiba                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974112 | GaMboi                                | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974119 | GaMmamatsha                           | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974127 | GaMogano                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974027 | GaMokgopo                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974110 | GaMokwane                             | Polokwane        | Capricorn          | Limpopo
 59830 - ZAUIT: Traditional tenure informal settlement                    |  974110 | GaMokwane                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974123 | GaMolepo                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974069 | GaMoropo                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974124 | GaMothapo                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974037 | GaPotse                               | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974015 | GaRamongwana                          | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974120 | GaRamphere                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974125 | GaSebati                              | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974012 | GaSemenya                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974136 | GaThaba                               | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974085 | GaThoka                               | Polokwane        | Capricorn          | Limpopo
 59801 - ZAUCT: Traditional tenure commercial/mercantile area             |  974085 | GaThoka                               | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974138 | GaTshwene A                           | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974130 | GaTshwene B                           | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974068 | Gamalahlela                           | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974039 | Kgohlwane                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974067 | Kgokong                               | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974010 | Kgoroshi                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974062 | Kgwara                                | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974018 | Kgwareng                              | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974024 | Koloti                                | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974089 | Komaneng                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974051 | Kotishing                             | Polokwane        | Capricorn          | Limpopo
 59903 - ZAPRO: Protected nature, forest or game reserve, gazetted        |  974108 | Kuschke                               | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974117 | Laaste  Hoop                          | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974118 | Laaste Hoop                           | Polokwane        | Capricorn          | Limpopo
 59890 - ZAUSM: Urban, smallholdings, uncultivated or grazing             |  974105 | Leeukuil                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974033 | Lenyenye                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974129 | Lithupaneng                           | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974025 | Mabokelele                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974104 | Madiga                                | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974050 | Madiga A                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974049 | Madiga B                              | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974014 | Mahwibitswane                         | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974086 | Makanye                               | Polokwane        | Capricorn          | Limpopo
 59801 - ZAUCT: Traditional tenure commercial/mercantile area             |  974086 | Makanye                               | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974135 | Makatiane                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974081 | Makeketela                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974109 | Makgeng                               | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974022 | Makgoba                               | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974040 | Makgofe                               | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974101 | Makgwaneng                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974035 | Makgwareng                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974102 | Makhwareng                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974054 | Makotopong                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974122 | Makubung                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974082 | Mamotintane                           | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974115 | Mankgaile                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974084 | Mankweng                              | Polokwane        | Capricorn          | Limpopo
 59804 - ZAUED: Urban, education / health / services                      |  974084 | Mankweng                              | Polokwane        | Capricorn          | Limpopo
 59881 - ZAULM: Urban, residential, low-rise affluent and middle-income   |  974084 | Mankweng                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974029 | Mantheding A                          | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974019 | Mantheding B                          | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974013 | Marobala                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974061 | Masealama                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974070 | Masekwameng                           | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974030 | Masenya                               | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974006 | Masobohleng                           | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974133 | Matobole                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974093 | Megoring                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974032 | Mehlakong                             | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974001 | Mmadigorong                           | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974031 | Mmotong                               | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974017 | Mokgabane                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974036 | Mokgurutlane                          | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974078 | Molapi                                | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974038 | Monyamane                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974088 | Monywaneng                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974034 | Moshate                               | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974094 | Mothakeng                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974056 | Motlhatsweng                          | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974111 | Mountain View                         | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974131 | Mphogodiba                            | Polokwane        | Capricorn          | Limpopo
 59890 - ZAUSM: Urban, smallholdings, uncultivated or grazing             |  974098 | Myngenoegen                           | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974114 | Noko                                  | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974059 | Ntsima                                | Polokwane        | Capricorn          | Limpopo
 59890 - ZAUSM: Urban, smallholdings, uncultivated or grazing             |  974046 | Palmietfontein                        | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974041 | Perskebult                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974103 | Phomolong                             | Polokwane        | Capricorn          | Limpopo
 59151 - ZALER: Central Limpopo cattle ranching                           |  974044 | Polokwane                             | Polokwane        | Capricorn          | Limpopo
 59802 - ZAUCO: Urban, commercial / mercantile                            |  974044 | Polokwane                             | Polokwane        | Capricorn          | Limpopo
 59806 - ZAUIN: Urban, industrial / transport                             |  974044 | Polokwane                             | Polokwane        | Capricorn          | Limpopo
 59831 - ZAUIS: Urban, residential, informal better serviced              |  974044 | Polokwane                             | Polokwane        | Capricorn          | Limpopo
 59852 - ZAUUH: Urban, residential, municipal high-rise high unemployment |  974044 | Polokwane                             | Polokwane        | Capricorn          | Limpopo
 59881 - ZAULM: Urban, residential, low-rise affluent and middle-income   |  974044 | Polokwane                             | Polokwane        | Capricorn          | Limpopo
 59890 - ZAUSM: Urban, smallholdings, uncultivated or grazing             |  974044 | Polokwane                             | Polokwane        | Capricorn          | Limpopo
 59903 - ZAPRO: Protected nature, forest or game reserve, gazetted        |  974044 | Polokwane                             | Polokwane        | Capricorn          | Limpopo
 59151 - ZALER: Central Limpopo cattle ranching                           |  974002 | Polokwane NU                          | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974002 | Polokwane NU                          | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974002 | Polokwane NU                          | Polokwane        | Capricorn          | Limpopo
 59251 - ZALCV: North central Limpopo cattle and vegetables               |  974002 | Polokwane NU                          | Polokwane        | Capricorn          | Limpopo
 59252 - ZALEM: Limpopo Escarpment Mixed Farming                          |  974002 | Polokwane NU                          | Polokwane        | Capricorn          | Limpopo
 59804 - ZAUED: Urban, education / health / services                      |  974002 | Polokwane NU                          | Polokwane        | Capricorn          | Limpopo
 59805 - ZAUNT: Traditional tenure industrial area                        |  974002 | Polokwane NU                          | Polokwane        | Capricorn          | Limpopo
 59881 - ZAULM: Urban, residential, low-rise affluent and middle-income   |  974002 | Polokwane NU                          | Polokwane        | Capricorn          | Limpopo
 59890 - ZAUSM: Urban, smallholdings, uncultivated or grazing             |  974002 | Polokwane NU                          | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974026 | Ramakgaphola                          | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974100 | Ramogale                              | Polokwane        | Capricorn          | Limpopo
 59890 - ZAUSM: Urban, smallholdings, uncultivated or grazing             |  974106 | Rietfontein                           | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974028 | Sebayeng                              | Polokwane        | Capricorn          | Limpopo
 59831 - ZAUIS: Urban, residential, informal better serviced              |  974028 | Sebayeng                              | Polokwane        | Capricorn          | Limpopo
 59881 - ZAULM: Urban, residential, low-rise affluent and middle-income   |  974028 | Sebayeng                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974143 | Sebonapudi                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974095 | Segwasi                               | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974134 | Sekgweng                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974074 | Sencherere                            | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974060 | Sengatane                             | Polokwane        | Capricorn          | Limpopo
 59802 - ZAUCO: Urban, commercial / mercantile                            |  974043 | Seshego                               | Polokwane        | Capricorn          | Limpopo
 59806 - ZAUIN: Urban, industrial / transport                             |  974043 | Seshego                               | Polokwane        | Capricorn          | Limpopo
 59831 - ZAUIS: Urban, residential, informal better serviced              |  974043 | Seshego                               | Polokwane        | Capricorn          | Limpopo
 59852 - ZAUUH: Urban, residential, municipal high-rise high unemployment |  974043 | Seshego                               | Polokwane        | Capricorn          | Limpopo
 59881 - ZAULM: Urban, residential, low-rise affluent and middle-income   |  974043 | Seshego                               | Polokwane        | Capricorn          | Limpopo
 59903 - ZAPRO: Protected nature, forest or game reserve, gazetted        |  974043 | Seshego                               | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974073 | Setotolwane                           | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974116 | Sobiago                               | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974077 | Syferkuil                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974091 | Thabakgone                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974080 | Thakgalang                            | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974092 | Tholongwe                             | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974065 | Thune                                 | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974016 | Titibe                                | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974121 | Tsebela                               | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974053 | Tshebeng                              | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974072 | Tshware                               | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974139 | Tshwene                               | Polokwane        | Capricorn          | Limpopo
 59890 - ZAUSM: Urban, smallholdings, uncultivated or grazing             |  974047 | Tweefontein                           | Polokwane        | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  974055 | Vaalkop                               | Polokwane        | Capricorn          | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  974021 | Vierhoek                              | Polokwane        | Capricorn          | Limpopo
 59155 - ZAHGR: Highveld cattle and game farming                          |  984046 | Bankfontein                           | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59204 - ZANWC: North western open access cattle crops                    |  984063 | Dennilton                             | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  984004 | Dikgalaopeng                          | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  984021 | Dindela                               | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59204 - ZANWC: North western open access cattle crops                    |  984070 | Dithabaneng                           | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59204 - ZANWC: North western open access cattle crops                    |  984059 | Ditshego                              | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59204 - ZANWC: North western open access cattle crops                    |  984069 | Elandsdoorn                           | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59204 - ZANWC: North western open access cattle crops                    |  984065 | Elandsdoring                          | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59880 - ZAULT: Formal residential in traditional tenure                  |  984065 | Elandsdoring                          | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59151 - ZALER: Central Limpopo cattle ranching                           |  984002 | Elias Motsoaledi NU                   | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59155 - ZAHGR: Highveld cattle and game farming                          |  984002 | Elias Motsoaledi NU                   | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  984002 | Elias Motsoaledi NU                   | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59204 - ZANWC: North western open access cattle crops                    |  984002 | Elias Motsoaledi NU                   | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59252 - ZALEM: Limpopo Escarpment Mixed Farming                          |  984002 | Elias Motsoaledi NU                   | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59355 - ZAHOI: Highveld Olifants River irrigated farming                 |  984002 | Elias Motsoaledi NU                   | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59903 - ZAPRO: Protected nature, forest or game reserve, gazetted        |  984002 | Elias Motsoaledi NU                   | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59204 - ZANWC: North western open access cattle crops                    |  984054 | Five Morgan                           | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  984010 | Frischgewaagd                         | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59204 - ZANWC: North western open access cattle crops                    |  984042 | GaMatlala                             | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  984011 | GaPamadi                              | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  984001 | Galgoloko                             | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59355 - ZAHOI: Highveld Olifants River irrigated farming                 |  984045 | Groblersdal                           | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59852 - ZAUUH: Urban, residential, municipal high-rise high unemployment |  984045 | Groblersdal                           | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59881 - ZAULM: Urban, residential, low-rise affluent and middle-income   |  984045 | Groblersdal                           | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  984020 | Hlogotlou                             | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  984014 | Jerusalem                             | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59903 - ZAPRO: Protected nature, forest or game reserve, gazetted        |  984014 | Jerusalem                             | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59203 - ZASLC: Southern Limpopo open access cattle and crops             |  984034 | Keerom                                | Elias Motsoaledi | Greater Sekhukhune | Limpopo
 59204 - ZANWC: North western open access cattle crops                    |  984039 | Kgapamadi                             | Elias Motsoaledi | Greater Sekhukhune | Limpopo
